,제목,링크,정보제공,날짜
48,"
카뱅 '개인사업자 뱅킹' 돌풍
",https://finance.naver.com//item/news_read.naver?article_id=0005054628&office_id=009&code=323410&page=2&sm=title_entity_id.basic,매일경제, 2022.12.02 17:19
49,"
카카오뱅크 “개인사업자 고객 13만명 돌파… 신용대출 500억원 공급...
",https://finance.naver.com//item/news_read.naver?article_id=0000859427&office_id=366&code=323410&page=2&sm=title_entity_id.basic,조선비즈, 2022.12.02 11:18
50,"
카카오뱅크, 사업자 고객 13만명 돌파…개인사업자 뱅킹 ‘청신호’
",https://finance.naver.com//item/news_read.naver?article_id=0002073227&office_id=016&code=323410&page=2&sm=title_entity_id.basic,헤럴드경제, 2022.12.02 11:06
51,"
카카오뱅크 개인사업자 뱅킹, 출시 한 달 만에 고객수 13만명 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0000063137&office_id=050&code=323410&page=2&sm=title_entity_id.basic,한경비즈니스, 2022.12.02 10:54
52,"
카카오뱅크, 개인사업자 뱅킹 고객 13만명 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0004129245&office_id=011&code=323410&page=2&sm=title_entity_id.basic,서울경제, 2022.12.02 10:43
53,"
카카오뱅크 개인사업자 고객 수 13만명 넘었다
",https://finance.naver.com//item/news_read.naver?article_id=0004936834&office_id=014&code=323410&page=2&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.02 09:52
54,"
카카오뱅크 개인사업자 뱅킹, 출시 한 달 만에 ‘고객 13만명’ 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0000035457&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.02 09:32
55,"
카카오뱅크 '개인사업자 뱅킹' 한 달만에 500억 공급
",https://finance.naver.com//item/news_read.naver?article_id=0004824760&office_id=008&code=323410&page=2&sm=title_entity_id.basic,머니투데이, 2022.12.02 09:25
56,"
개인사업자 몰리는 카뱅…서비스 출시 한달새 고객 13만명 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0005186235&office_id=277&code=323410&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.02 09:23
57,"
카카오뱅크 개인사업자 뱅킹, 출시 한 달 만 고객 13만명 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0005379337&office_id=018&code=323410&page=2&sm=title_entity_id.basic,이데일리, 2022.12.02 09:09
58,"
“내년까지 돈 안받는다” 카카오뱅크, ATM 수수료 면제 연장
",https://finance.naver.com//item/news_read.naver?article_id=0005054590&office_id=009&code=323410&page=2&sm=title_entity_id.basic,매일경제, 2022.12.02 17:02
59,"
카카오뱅크, 한 달만에 개인사업자 고객 13만명…70%는 3040
",https://finance.naver.com//item/news_read.naver?article_id=0004782654&office_id=015&code=323410&page=2&sm=title_entity_id.basic,한국경제, 2022.12.02 10:10
60,"
""증시에 '파월 산타' 오셨나""…나스닥 4% 급등에 카뱅 12%·카카오...
",https://finance.naver.com//item/news_read.naver?article_id=0004128744&office_id=011&code=323410&page=3&sm=title_entity_id.basic,서울경제, 2022.12.01 11:02
61,"
비둘기로 돌변한 파월 의장...카카오·카뱅·카페 주주들 환호성
",https://finance.naver.com//item/news_read.naver?article_id=0005053731&office_id=009&code=323410&page=3&sm=title_entity_id.basic,매일경제, 2022.12.01 10:56
62,"
카뱅 10%↑ 카페 9%↑…파월 “속도조절” 발언에 기술주 환호
",https://finance.naver.com//item/news_read.naver?article_id=0005053675&office_id=009&code=323410&page=3&sm=title_entity_id.basic,매일경제, 2022.12.01 09:36
63,"
카카오뱅크, 성남시 취약 계층 1530 가구에 김장김치 15톤 나눔
",https://finance.naver.com//item/news_read.naver?article_id=0000035358&office_id=243&code=323410&page=3&sm=title_entity_id.basic,이코노미스트, 2022.12.01 09:29
64,"
카뱅, 중저 신용고객 이자 112억 지원
",https://finance.naver.com//item/news_read.naver?article_id=0004935890&office_id=014&code=323410&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.30 18:10
65,"
카카오뱅크, 중저신용고객 대상 첫 달 대출이자 지원
",https://finance.naver.com//item/news_read.naver?article_id=0000858770&office_id=366&code=323410&page=3&sm=title_entity_id.basic,조선비즈, 2022.11.30 11:24
66,"
카카오뱅크 ""중저신용자 대출 첫달 이자 지원""
",https://finance.naver.com//item/news_read.naver?article_id=0005185068&office_id=277&code=323410&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.30 10:46
67,"
카카오뱅크, 중저신용고객 대상 ‘첫 달 이자 지원’ 이벤트 진행
",https://finance.naver.com//item/news_read.naver?article_id=0000035263&office_id=243&code=323410&page=3&sm=title_entity_id.basic,이코노미스트, 2022.11.30 10:05
68,"
카카오뱅크, 중저신용고객에 112억 이자 지원
",https://finance.naver.com//item/news_read.naver?article_id=0004935553&office_id=014&code=323410&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.30 10:00
69,"
카카오뱅크, 중저신용 ‘첫 달 이자 지원’ 이벤트
",https://finance.naver.com//item/news_read.naver?article_id=0005377548&office_id=018&code=323410&page=3&sm=title_entity_id.basic,이데일리, 2022.11.30 09:20
70,"
""카뱅, 지금도 비싸다""…목표가 1만원대 제시한 애널리스트의 일침
",https://finance.naver.com//item/news_read.naver?article_id=0004823764&office_id=008&code=323410&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.30 10:02
71,"
코인원, ‘카카오뱅크’ 계좌로 입출금한다
",https://finance.naver.com//item/news_read.naver?article_id=0000078601&office_id=024&code=323410&page=3&sm=title_entity_id.basic,매경이코노미, 2022.11.30 09:52
72,"
코인원, ‘1억’ 쏜다…카카오뱅크 원화 입출금 서비스 오픈
",https://finance.naver.com//item/news_read.naver?article_id=0000035235&office_id=243&code=323410&page=3&sm=title_entity_id.basic,이코노미스트, 2022.11.29 17:32
73,"
코인원, 카카오뱅크 입출금 서비스 오픈
",https://finance.naver.com//item/news_read.naver?article_id=0004781224&office_id=015&code=323410&page=3&sm=title_entity_id.basic,한국경제, 2022.11.29 17:00
74,"
코인원 ""오늘부터 '카카오뱅크'로 입출금하세요""
",https://finance.naver.com//item/news_read.naver?article_id=0004823525&office_id=008&code=323410&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.29 16:55
75,"
코인원, 카카오뱅크 원화 입출금 서비스 오픈
",https://finance.naver.com//item/news_read.naver?article_id=0002071643&office_id=016&code=323410&page=3&sm=title_entity_id.basic,헤럴드경제, 2022.11.29 13:41
76,"
코인원, 오늘부터 '카카오뱅크' 계좌로 입출금한다
",https://finance.naver.com//item/news_read.naver?article_id=0005184463&office_id=277&code=323410&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.29 11:20
77,"
카카오뱅크 ""신용평가 기술 연구 국제 학술지에 게재""
",https://finance.naver.com//item/news_read.naver?article_id=0004781193&office_id=015&code=323410&page=3&sm=title_entity_id.basic,한국경제, 2022.11.29 16:06
78,"
카카오뱅크 “신용평가 기술 연구 결과, 국제 학술지 게재”
",https://finance.naver.com//item/news_read.naver?article_id=0000035180&office_id=243&code=323410&page=3&sm=title_entity_id.basic,이코노미스트, 2022.11.29 11:02
79,"
카카오뱅크 “신용평가 기술 연구 결과 국제 학술지 게재”
",https://finance.naver.com//item/news_read.naver?article_id=0000858438&office_id=366&code=323410&page=3&sm=title_entity_id.basic,조선비즈, 2022.11.29 10:40
80,"
카카오뱅크, 신용평가 기술 연구 결과 국제 학술지 게재
",https://finance.naver.com//item/news_read.naver?article_id=0005184379&office_id=277&code=323410&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.29 10:25
81,"
코스피 하락 마감…카카오뱅크·페이 5%대 급락 [마감시황]
",https://finance.naver.com//item/news_read.naver?article_id=0000035130&office_id=243&code=323410&page=3&sm=title_entity_id.basic,이코노미스트, 2022.11.28 15:58
