,제목,링크,정보제공,날짜
38,"
‘우마무스메’ 유저들에게 혼쭐 난 카카오게임즈, 신작으로 반등 노린다
",https://finance.naver.com//item/news_read.naver?article_id=0000033387&office_id=243&code=293490&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.02 18:44
39,"
'우마무스메 논란' 카카오게임즈 3분기 매출 전년비 34% 감소
",https://finance.naver.com//item/news_read.naver?article_id=0004770156&office_id=015&code=293490&page=4&sm=title_entity_id.basic,한국경제, 2022.11.02 10:51
40,"
'분기 최대실적' 카뱅 뛰고…카카오게임즈는 뒷걸음
",https://finance.naver.com//item/news_read.naver?article_id=0005039428&office_id=009&code=293490&page=4&sm=title_entity_id.basic,매일경제, 2022.11.02 17:45
41,"
3Q 선방한 카카오게임즈, 업데이트로 반전 노린다
",https://finance.naver.com//item/news_read.naver?article_id=0000011453&office_id=648&code=293490&page=4&sm=title_entity_id.basic,비즈니스워치, 2022.11.02 16:52
42,"
카카오게임즈, 3분기 영업익 437억원...전년比 2.3%↑
",https://finance.naver.com//item/news_read.naver?article_id=0002289582&office_id=123&code=293490&page=4&sm=title_entity_id.basic,조세일보, 2022.11.02 09:08
43,"
카카오게임즈, 우마무스메 여파에 어닝쇼크…3분기 영업익 437억
",https://finance.naver.com//item/news_read.naver?article_id=0004813042&office_id=008&code=293490&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.02 09:00
44,"
카카오게임즈, 3분기 영업익 437억…전년比 2%↑
",https://finance.naver.com//item/news_read.naver?article_id=0005356244&office_id=018&code=293490&page=4&sm=title_entity_id.basic,이데일리, 2022.11.02 08:47
45,"
카카오게임즈, 우마무스메發 어닝쇼크 …""라이온하트 재상장은 미정""
",https://finance.naver.com//item/news_read.naver?article_id=0004813217&office_id=008&code=293490&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.02 13:42
46,"
글로벌 진출 속도 카카오게임즈…""디스테라·에버소울·아키에이지워 출시 ....
",https://finance.naver.com//item/news_read.naver?article_id=0005171183&office_id=277&code=293490&page=4&sm=title_entity_id.basic,아시아경제, 2022.11.02 11:25
47,"
카카오게임즈, 3분기 매출 34% ‘뚝’
",https://finance.naver.com//item/news_read.naver?article_id=0002060473&office_id=016&code=293490&page=4&sm=title_entity_id.basic,헤럴드경제, 2022.11.02 11:21
48,"
[종합] 카카오게임즈, 4Q 반등 핵심은 ‘오딘’…신작은 내년 집중
",https://finance.naver.com//item/news_read.naver?article_id=0005039142&office_id=009&code=293490&page=4&sm=title_entity_id.basic,매일경제, 2022.11.02 11:06
49,"
카카오게임즈, 3분기 매출 3069억원…전년대비 34%↓
",https://finance.naver.com//item/news_read.naver?article_id=0000033316&office_id=243&code=293490&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.02 10:11
50,"
카카오게임즈 전년 대비 매출 34% 감소…주가 2%대 하락
",https://finance.naver.com//item/news_read.naver?article_id=0004813057&office_id=008&code=293490&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.02 09:20
51,"
[컨콜] 카카오게임즈 ""라이온하트 상장 일정 및 여부, 정해진 바 없어...
",https://finance.naver.com//item/news_read.naver?article_id=0004117392&office_id=011&code=293490&page=4&sm=title_entity_id.basic,서울경제, 2022.11.02 10:07
52,"
[특징주] 카카오게임즈, 어닝쇼크에 약세
",https://finance.naver.com//item/news_read.naver?article_id=0004117361&office_id=011&code=293490&page=4&sm=title_entity_id.basic,서울경제, 2022.11.02 09:35
53,"
[특징주] 카카오게임즈, 3분기 어닝 쇼크에 장 초반 4% 이상 급락
",https://finance.naver.com//item/news_read.naver?article_id=0000851856&office_id=366&code=293490&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.02 09:22
54,"
[특징주]카카오게임즈, 3Q 어닝쇼크에 4%대 약세
",https://finance.naver.com//item/news_read.naver?article_id=0005356279&office_id=018&code=293490&page=4&sm=title_entity_id.basic,이데일리, 2022.11.02 09:11
55,"
[특징주]카카오게임즈, 3Q 실적 부진에 1.5%대 하락
",https://finance.naver.com//item/news_read.naver?article_id=0005171018&office_id=277&code=293490&page=4&sm=title_entity_id.basic,아시아경제, 2022.11.02 09:35
56,"
카카오게임즈, 3분기 부진한 실적 발표에 주가 하락
",https://finance.naver.com//item/news_read.naver?article_id=0004770120&office_id=015&code=293490&page=5&sm=title_entity_id.basic,한국경제, 2022.11.02 09:28
57,"
[속보]카카오게임즈, 3분기 영업익 437억원...전년比 2.2%↑
",https://finance.naver.com//item/news_read.naver?article_id=0002289577&office_id=123&code=293490&page=5&sm=title_entity_id.basic,조세일보, 2022.11.02 08:42
58,"
카카오게임즈, 3분기 영업익 437억…전년比 2.3%↑[주목 e공시]
",https://finance.naver.com//item/news_read.naver?article_id=0004770094&office_id=015&code=293490&page=5&sm=title_entity_id.basic,한국경제, 2022.11.02 08:42
59,"
카카오게임즈, 3분기 영업익 437억…전년비 2.3%↑
",https://finance.naver.com//item/news_read.naver?article_id=0004813033&office_id=008&code=293490&page=5&sm=title_entity_id.basic,머니투데이, 2022.11.02 08:38
60,"
카카오게임즈, 3분기 영업익 437억…전년비 2.3% ↑
",https://finance.naver.com//item/news_read.naver?article_id=0002060229&office_id=016&code=293490&page=5&sm=title_entity_id.basic,헤럴드경제, 2022.11.02 08:32
61,"
[속보] 카카오게임즈, 3Q 매출 3068억원…전년比 34%↓
",https://finance.naver.com//item/news_read.naver?article_id=0004922035&office_id=014&code=293490&page=5&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.02 08:38
62,"
카카오게임즈, 3Q 매출액 3068억원…전년동기比 -34.17%
",https://finance.naver.com//item/news_read.naver?article_id=0005356236&office_id=018&code=293490&page=5&sm=title_entity_id.basic,이데일리, 2022.11.02 08:36
63,"
카카오게임즈, ‘디스테라’ 내달 24일 얼리 액세스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0005352202&office_id=018&code=293490&page=5&sm=title_entity_id.basic,이데일리, 2022.10.27 17:40
64,"
카카오게임즈 FPS 신작 ‘디스테라’, ‘앞서해보기’ 형태로 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000032925&office_id=243&code=293490&page=5&sm=title_entity_id.basic,이코노미스트, 2022.10.27 16:02
65,"
카카오게임즈, ‘아레스’ 인게임 트레일러 영상 공개
",https://finance.naver.com//item/news_read.naver?article_id=0005351732&office_id=018&code=293490&page=5&sm=title_entity_id.basic,이데일리, 2022.10.27 14:52
66,"
카카오게임즈, ‘오딘’ 신규 콘텐츠 ‘길드 던전 디펜스’ 추가
",https://finance.naver.com//item/news_read.naver?article_id=0005351078&office_id=018&code=293490&page=5&sm=title_entity_id.basic,이데일리, 2022.10.26 18:32
67,"
[지스타 2022] 카카오게임즈, 주요 출품작 기대감 높아
",https://finance.naver.com//item/news_read.naver?article_id=0004918861&office_id=014&code=293490&page=5&sm=title_entity_id.basic,파이낸셜뉴스, 2022.10.26 17:04
68,"
카카오게임즈, 장흥군서 ‘찾아가는 프렌즈게임 랜드’ 진행
",https://finance.naver.com//item/news_read.naver?article_id=0005349992&office_id=018&code=293490&page=5&sm=title_entity_id.basic,이데일리, 2022.10.25 16:43
69,"
“장흥에 ‘라이언’이 떴다”…카카오게임즈, 찾아가는 사회공헌 캠페인
",https://finance.naver.com//item/news_read.naver?article_id=0002057024&office_id=016&code=293490&page=5&sm=title_entity_id.basic,헤럴드경제, 2022.10.25 16:26
70,"
카카오게임즈-콩스튜디오, ‘가디언 테일즈’ 오케스트라 성황리 종료
",https://finance.naver.com//item/news_read.naver?article_id=0000032614&office_id=243&code=293490&page=6&sm=title_entity_id.basic,이코노미스트, 2022.10.24 14:58
71,"
카카오게임즈, ‘우마무스메’ 등 ‘AGF 2022’ 참가 확정
",https://finance.naver.com//item/news_read.naver?article_id=0005346821&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.21 16:53
72,"
카카오게임즈, 엑스엘게임즈 신작 ‘아키에이지 워’ 티저 페이지 공개
",https://finance.naver.com//item/news_read.naver?article_id=0005346639&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.21 13:38
73,"
카카오게임즈 ‘오딘’, 4분기 신규 디펜스 모드 나온다
",https://finance.naver.com//item/news_read.naver?article_id=0005345156&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.19 16:52
74,"
""카카오게임즈, 자회사 상장 철회 아닌 연기""…목표가↓
",https://finance.naver.com//item/news_read.naver?article_id=0005032286&office_id=009&code=293490&page=6&sm=title_entity_id.basic,매일경제, 2022.10.19 09:26
75,"
유진투자 “카카오게임즈, 오딘·우마무스메 부진…목표가 하향”
",https://finance.naver.com//item/news_read.naver?article_id=0000848405&office_id=366&code=293490&page=6&sm=title_entity_id.basic,조선비즈, 2022.10.19 09:03
76,"
""카카오게임즈, 오딘·우마무스메 부진…목표가 6.9만→5.7만""-유진
",https://finance.naver.com//item/news_read.naver?article_id=0004764115&office_id=015&code=293490&page=6&sm=title_entity_id.basic,한국경제, 2022.10.19 08:22
77,"
카카오게임즈, 9월 부진한 주요 게임매출…목표가↓ -유진
",https://finance.naver.com//item/news_read.naver?article_id=0005344522&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.19 08:14
78,"
[클릭 e종목]""카카오게임즈, 뼈아픈 오딘·우마무스메의 부진""
",https://finance.naver.com//item/news_read.naver?article_id=0005163625&office_id=277&code=293490&page=6&sm=title_entity_id.basic,아시아경제, 2022.10.19 08:11
79,"
카카오게임즈, 오딘 부진에 3Q 영업익 컨센서스 하회…목표가↓-교보
",https://finance.naver.com//item/news_read.naver?article_id=0005344548&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.19 08:44
80,"
카카오게임즈 메타보라 발행 가상화폐 '보라'도 하락세
",https://finance.naver.com//item/news_read.naver?article_id=0005163150&office_id=277&code=293490&page=6&sm=title_entity_id.basic,아시아경제, 2022.10.18 10:18
81,"
코스닥, 외인 매도세에 680선 깨져…카카오게임즈 급락 뒤 낙폭 축소
",https://finance.naver.com//item/news_read.naver?article_id=0005343158&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.17 13:24
82,"
카카오게임즈 ""매출 등 재무적 영향 제한적… SK C&C와 손해배상 논...
",https://finance.naver.com//item/news_read.naver?article_id=0005342850&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.17 09:13
83,"
코스닥, 美 기대 인플레 상승에 외인·기관 '팔자'…카카오게임즈 8%대...
",https://finance.naver.com//item/news_read.naver?article_id=0005342847&office_id=018&code=293490&page=6&sm=title_entity_id.basic,이데일리, 2022.10.17 09:12
84,"
“라이온하트 상장 철회한 카카오게임즈, 투자의견 ‘적극매수’ 상향”
",https://finance.naver.com//item/news_read.naver?article_id=0002052842&office_id=016&code=293490&page=7&sm=title_entity_id.basic,헤럴드경제, 2022.10.15 04:35
85,"
모처럼 웃은 카카오게임즈…9% 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004762472&office_id=015&code=293490&page=7&sm=title_entity_id.basic,한국경제, 2022.10.14 17:30
86,"
라이온하트 상장철회에 카카오게임즈 12% 급등...상승세 지속될 수 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000077737&office_id=024&code=293490&page=7&sm=title_entity_id.basic,매경이코노미, 2022.10.14 11:45
87,"
라이온하트 상장 보류되자…카카오게임즈 주가 12% 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004762262&office_id=015&code=293490&page=7&sm=title_entity_id.basic,한국경제, 2022.10.14 10:56
88,"
라이온하트, 내년 초로 상장 연기... 모회사 카카오게임즈 ‘쪼개기 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000847355&office_id=366&code=293490&page=7&sm=title_entity_id.basic,조선비즈, 2022.10.14 10:16
89,"
[특징주] 카카오게임즈, 라이온하트 상장철회 소식에 10%대 급등
",https://finance.naver.com//item/news_read.naver?article_id=0002052560&office_id=016&code=293490&page=7&sm=title_entity_id.basic,헤럴드경제, 2022.10.14 10:03
90,"
카카오게임즈, 라이온하트 상장 철회에 9%대 급등 [증시이슈]
",https://finance.naver.com//item/news_read.naver?article_id=0000031973&office_id=243&code=293490&page=7&sm=title_entity_id.basic,이코노미스트, 2022.10.14 09:47
91,"
카카오게임즈, '오딘' 개발 자회사 상장 연기 소식에 '급등'
",https://finance.naver.com//item/news_read.naver?article_id=0004805681&office_id=008&code=293490&page=7&sm=title_entity_id.basic,머니투데이, 2022.10.14 09:13
92,"
[특징주] 자회사 상장철회에 카카오게임즈 10%대 급등
",https://finance.naver.com//item/news_read.naver?article_id=0005341210&office_id=018&code=293490&page=7&sm=title_entity_id.basic,이데일리, 2022.10.14 09:08
93,"
[주식 초고수는 지금] 라이온하트 상장 연기로 카카오게임즈 투심 회복…...
",https://finance.naver.com//item/news_read.naver?article_id=0004110196&office_id=011&code=293490&page=7&sm=title_entity_id.basic,서울경제, 2022.10.14 11:16
94,"
[특징주]카카오게임즈, 라이온하트스튜디오 IPO철회에 11%대 강세
",https://finance.naver.com//item/news_read.naver?article_id=0005161632&office_id=277&code=293490&page=7&sm=title_entity_id.basic,아시아경제, 2022.10.14 10:04
95,"
카카오게임즈, 라이온하트스튜디오 IPO 철회에 9%대 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004762202&office_id=015&code=293490&page=7&sm=title_entity_id.basic,한국경제, 2022.10.14 09:25
96,"
카카오게임즈, '라이온하트' 상장 철회…""최악의 시나리오 소멸""
",https://finance.naver.com//item/news_read.naver?article_id=0004805673&office_id=008&code=293490&page=7&sm=title_entity_id.basic,머니투데이, 2022.10.14 09:01
97,"
미래에셋증권 “카카오게임즈, 라이온하트 상장 철회로 최악의 시나리오 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000847304&office_id=366&code=293490&page=7&sm=title_entity_id.basic,조선비즈, 2022.10.14 08:53
98,"
""카카오게임즈, 라이온하트 상장 철회 영향 불가피…목표가↓""-다올
",https://finance.naver.com//item/news_read.naver?article_id=0004805666&office_id=008&code=293490&page=7&sm=title_entity_id.basic,머니투데이, 2022.10.14 08:55
99,"
다올투자증권 “카카오게임즈, 자회사 상장 철회로 주가 반짝 상승 기대...
",https://finance.naver.com//item/news_read.naver?article_id=0000847305&office_id=366&code=293490&page=7&sm=title_entity_id.basic,조선비즈, 2022.10.14 08:54
100,"
""카카오게임즈, 라이온하트 상장 철회에 주가 일시적 반응할 것""-다올
",https://finance.naver.com//item/news_read.naver?article_id=0004762178&office_id=015&code=293490&page=7&sm=title_entity_id.basic,한국경제, 2022.10.14 08:31
101,"
카카오게임즈, 라이온하트 상장철회 영향은… 목표가↓-다올
",https://finance.naver.com//item/news_read.naver?article_id=0005341147&office_id=018&code=293490&page=7&sm=title_entity_id.basic,이데일리, 2022.10.14 08:04
102,"
[특징주]라이온하트스튜디오 상장 철회에 카카오게임즈 시간외 급등
",https://finance.naver.com//item/news_read.naver?article_id=0005340894&office_id=018&code=293490&page=7&sm=title_entity_id.basic,이데일리, 2022.10.13 18:01
103,"
카카오게임즈, 신작 MMORPG ‘아키에이지 워’ 최초 공개
",https://finance.naver.com//item/news_read.naver?article_id=0000031892&office_id=243&code=293490&page=7&sm=title_entity_id.basic,이코노미스트, 2022.10.13 11:35
104,"
[특징주] 끝없이 추락하는 카카오·카뱅·카카오게임즈...52주 신저가
",https://finance.naver.com//item/news_read.naver?article_id=0000847025&office_id=366&code=293490&page=7&sm=title_entity_id.basic,조선비즈, 2022.10.13 09:47
105,"
카카오게임즈, 신작 ‘아키에이지 워’ 최초 공개
",https://finance.naver.com//item/news_read.naver?article_id=0004109228&office_id=011&code=293490&page=7&sm=title_entity_id.basic,서울경제, 2022.10.12 13:44
106,"
카카오게임즈, 신작 ‘아키에이지 워’ 최초 공개
",https://finance.naver.com//item/news_read.naver?article_id=0005339642&office_id=018&code=293490&page=7&sm=title_entity_id.basic,이데일리, 2022.10.12 13:13
107,"
[종목줍줍]고객·주주 무시하더니…추락하는 카카오게임즈
",https://finance.naver.com//item/news_read.naver?article_id=0000010962&office_id=648&code=293490&page=8&sm=title_entity_id.basic,비즈니스워치, 2022.10.12 06:12
108,"
‘제2의 오딘’ 키우는 카카오게임즈…주가우려 딛고 하반기 ‘승부수’
",https://finance.naver.com//item/news_read.naver?article_id=0005339089&office_id=018&code=293490&page=8&sm=title_entity_id.basic,이데일리, 2022.10.11 18:51
109,"
[특징주] 카카오게임즈·펄어비스, 3분기 실적 부진 전망에 52주 신저...
",https://finance.naver.com//item/news_read.naver?article_id=0004108551&office_id=011&code=293490&page=8&sm=title_entity_id.basic,서울경제, 2022.10.11 09:41
110,"
카카오게임즈, 신작 ‘아레스’ 캐릭터 슈트 영상 공개
",https://finance.naver.com//item/news_read.naver?article_id=0005336485&office_id=018&code=293490&page=8&sm=title_entity_id.basic,이데일리, 2022.10.07 16:37
111,"
다시 600대로 밀린 코스닥…카카오게임즈 4%대 하락
",https://finance.naver.com//item/news_read.naver?article_id=0004803384&office_id=008&code=293490&page=8&sm=title_entity_id.basic,머니투데이, 2022.10.07 14:19
112,"
또 '쪼개기 상장'…실적까지 암울한 카카오게임즈 주가 3분의 1토막
",https://finance.naver.com//item/news_read.naver?article_id=0004759343&office_id=015&code=293490&page=8&sm=title_entity_id.basic,한국경제, 2022.10.07 13:16
113,"
[특징주]카카오게임즈, 현 주가 부담스럽다 ""목표주가 하향 굴욕에 4...
",https://finance.naver.com//item/news_read.naver?article_id=0005158502&office_id=277&code=293490&page=8&sm=title_entity_id.basic,아시아경제, 2022.10.07 09:07
114,"
'라이온하트' 상장에 카카오게임즈 주가 털썩…목표주가 하향 굴욕까지
",https://finance.naver.com//item/news_read.naver?article_id=0005158437&office_id=277&code=293490&page=8&sm=title_entity_id.basic,아시아경제, 2022.10.07 08:22
115,"
카카오게임즈도 실적부진에 목표가 하향
",https://finance.naver.com//item/news_read.naver?article_id=0002050197&office_id=016&code=293490&page=8&sm=title_entity_id.basic,헤럴드경제, 2022.10.07 11:21
116,"
카카오 되는 게 없네…카카오게임즈도 실적부진에 목표가 하향
",https://finance.naver.com//item/news_read.naver?article_id=0002050100&office_id=016&code=293490&page=8&sm=title_entity_id.basic,헤럴드경제, 2022.10.07 10:31
117,"
3분기 컨센서스 하회 전망에 목표가↓…카카오게임즈 6%대 하락
",https://finance.naver.com//item/news_read.naver?article_id=0005335933&office_id=018&code=293490&page=8&sm=title_entity_id.basic,이데일리, 2022.10.07 09:24
118,"
[특징주] 카카오게임즈 장 초반 급락…실적 전망치·목표가 하향 조정 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000845851&office_id=366&code=293490&page=8&sm=title_entity_id.basic,조선비즈, 2022.10.07 09:20
